classType,defaultPort,serviceName,serviceDescription,entry,source
Port,66/udp,"sql*net","Oracle SQL*NET",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,67/tcp,"bootps","Bootstrap Protocol Server",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,67/udp,"bootps","Bootstrap Protocol Server",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,68/tcp,"bootpc","Bootstrap Protocol Client",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,68/udp,"bootpc","Bootstrap Protocol Client",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,69/tcp,"tftp","Trivial File Transfer",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,69/udp,"tftp","Trivial File Transfer",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,70/tcp,"gopher","Gopher",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,70/udp,"gopher","Gopher",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,71/tcp,"netrjs-1","Remote Job Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,71/udp,"netrjs-1","Remote Job Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,72/tcp,"netrjs-2","Remote Job Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,72/udp,"netrjs-2","Remote Job Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,73/tcp,"netrjs-3","Remote Job Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,73/udp,"netrjs-3","Remote Job Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,74/tcp,"netrjs-4","Remote Job Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,74/udp,"netrjs-4","Remote Job Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,76/tcp,"deos","Distributed External Object Store",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,76/udp,"deos","Distributed External Object Store",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,78/tcp,"vettcp","vettcp",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,78/udp,"vettcp","vettcp",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,79/tcp,"finger","Finger",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,79/udp,"finger","Finger",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,80/tcp,"http","World Wide Web HTTP",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,80/udp,"http","World Wide Web HTTP",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,80/tcp,"www","World Wide Web HTTP",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,80/udp,"www","World Wide Web HTTP",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,80/tcp,"www-http","World Wide Web HTTP",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,80/udp,"www-http","World Wide Web HTTP",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,80/sctp,"http","HTTP",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,82/tcp,"xfer","XFER Utility",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,82/udp,"xfer","XFER Utility",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,83/tcp,"mit-ml-dev","MIT ML Device",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,83/udp,"mit-ml-dev","MIT ML Device",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,84/tcp,"ctf","Common Trace Facility",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,84/udp,"ctf","Common Trace Facility",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,85/tcp,"mit-ml-dev","MIT ML Device",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,85/udp,"mit-ml-dev","MIT ML Device",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,86/tcp,"mfcobol","Micro Focus Cobol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,86/udp,"mfcobol","Micro Focus Cobol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,88/tcp,"Kerberos authentication system","Kerberos",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,88/udp,"Kerberos authentication system","Kerberos",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,89/tcp,"su-mit-tg","SU/MIT Telnet Gateway",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,89/udp,"su-mit-tg","SU/MIT Telnet Gateway",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,90/tcp,"dnsix","DNSIX Securit Attribute Token Map",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,90/udp,"dnsix","DNSIX Securit Attribute Token Map",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,91/tcp,"mit-dov","MIT Dover Spooler",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,91/udp,"mit-dov","MIT Dover Spooler",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,92/tcp,"npp","Network Printing Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,92/udp,"npp","Network Printing Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,93/tcp,"dcp","Device Control Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,93/udp,"dcp","Device Control Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,94/tcp,"objcall","Tivoli Object Dispatcher",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,94/udp,"objcall","Tivoli Object Dispatcher",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,95/tcp,"supdup","SUPDUP",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,95/udp,"supdup","SUPDUP",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,96/tcp,"dixie","DIXIE Protocol Specification",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,96/udp,"dixie","DIXIE Protocol Specification",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,97/tcp,"swift-rvf","Swift Remote Virtural File Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,97/udp,"swift-rvf","Swift Remote Virtural File Protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,98/tcp,"tacnews","TAC News",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,98/udp,"tacnews","TAC News",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,99/tcp,"metagram","Metagram Relay",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,99/udp,"metagram","Metagram Relay",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,101/tcp,"hostname","NIC Host Name Server",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,101/udp,"hostname","NIC Host Name Server",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,102/tcp,"iso-tsap","ISO-TSAP Class 0",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,102/udp,"iso-tsap","ISO-TSAP Class 0",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,103/tcp,"gppitnp","Genesis Point-to-Point Trans Net",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,103/udp,"gppitnp","Genesis Point-to-Point Trans Net",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,104/tcp,"acr-nema","ACR-NEMA Digital Imag. & Comm. 300",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,104/udp,"acr-nema","ACR-NEMA Digital Imag. & Comm. 300",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,105/tcp,"cso","CCSO name server protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,105/udp,"cso","CCSO name server protocol",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,105/tcp,"csnet-ns","Mailbox Name Nameserver",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,105/udp,"csnet-ns","Mailbox Name Nameserver",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,106/tcp,"3com-tsmux","3COM-TSMUX",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,106/udp,"3com-tsmux","3COM-TSMUX",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,107/tcp,"rtelnet","Remote Telnet Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
Port,107/udp,"rtelnet","Remote Telnet Service",manual,https://www.iana.org/assignments/service-names-port-numbers/service-names-port-numbers.xml
